GAPLENGHT, PREAMBLELENGHT, PAYLOADLENGHT, DATARATE, speed, totalPackets, totalBits, Count, correctCount, correctPercentage, Starttime, Endtime, Duration, Missedframes, correctDataSpeed, correctPayloadSpeed, usefullPayloadSpeed, distance
24,    24,    960,    0.003,    333b/s,    35000,    35840000,    22,    8,    36%,    1641491371.811816,    1641491464.881289,    93.06947493553162,    21,    88,    81,    81,    95
24,    24,    1024,    0.003,    333b/s,    35000,    38080000,    23,    12,    52%,    1641491464.8830562,    1641491555.7407901,    90.85773587226868,    22,    143,    133,    133,    95
24,    24,    1088,    0.003,    333b/s,    35000,    40320000,    14,    13,    92%,    1641491555.7410188,    1641491651.609132,    95.86811423301697,    13,    156,    145,    145,    95



24,    24,    32,    0.003,    333b/s,    35000,    3360000,    943,    929,    98%,    1641492233.577343,    1641492533.662001,    300.0846600532532,    939,    297,    49,    17,    95
24,    24,    64,    0.003,    333b/s,    35000,    4480000,    775,    768,    99%,    1641492533.662344,    1641492834.042736,    300.3803939819336,    772,    327,    122,    122,    95
24,    24,    96,    0.003,    333b/s,    35000,    5600000,    606,    602,    99%,    1641492834.043047,    1641493139.51443,    305.47138500213623,    604,    315,    157,    157,    95
24,    24,    128,    0.003,    333b/s,    35000,    6720000,    461,    453,    98%,    1641493139.514653,    1641493444.9734242,    305.458771944046,    459,    284,    166,    166,    95
24,    24,    160,    0.003,    333b/s,    35000,    7840000,    358,    354,    98%,    1641493444.9754229,    1641493748.511631,    303.53621006011963,    356,    261,    167,    167,    95
24,    24,    192,    0.003,    333b/s,    35000,    8960000,    372,    368,    98%,    1641493748.51187,    1641494049.5732381,    301.0613691806793,    370,    312,    215,    215,    95
24,    24,    224,    0.003,    333b/s,    35000,    10080000,    331,    326,    98%,    1641494049.5734668,    1641494350.0425549,    300.4690890312195,    329,    312,    225,    225,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    300,    293,    97%,    1641494350.04278,    1641494652.28318,    302.2404022216797,    299,    310,    232,    232,    95
24,    24,    288,    0.003,    333b/s,    35000,    12320000,    274,    267,    97%,    1641494652.283412,    1641494953.400906,    301.11749601364136,    273,    312,    241,    241,    95
24,    24,    320,    0.003,    333b/s,    35000,    13440000,    243,    234,    96%,    1641494953.401132,    1641495254.167913,    300.7667818069458,    242,    298,    236,    236,    95
24,    24,    352,    0.003,    333b/s,    35000,    14560000,    216,    208,    96%,    1641495254.1681979,    1641495554.444659,    300.2764620780945,    215,    288,    232,    232,    95
24,    24,    320,    0.003,    333b/s,    35000,    13440000,    251,    244,    97%,    1641499484.5194502,    1641499785.288449,    300.7690007686615,    250,    311,    246,    246,    95
24,    24,    352,    0.003,    333b/s,    35000,    14560000,    234,    231,    98%,    1641499785.288682,    1641500086.033419,    300.74473810195923,    233,    319,    258,    258,    95
24,    24,    384,    0.003,    333b/s,    35000,    15680000,    214,    211,    98%,    1641500086.0354419,    1641500387.065067,    301.02962613105774,    213,    314,    257,    257,    95
24,    24,    416,    0.003,    333b/s,    35000,    16800000,    208,    207,    99%,    1641500387.065262,    1641500687.986207,    300.92094588279724,    207,    330,    275,    275,    95
24,    24,    448,    0.003,    333b/s,    35000,    17920000,    193,    190,    98%,    1641500687.9864352,    1641500989.0101068,    301.0236737728119,    192,    323,    272,    272,    95
24,    24,    480,    0.003,    333b/s,    35000,    19040000,    179,    175,    97%,    1641500989.0103402,    1641501289.259253,    300.24891471862793,    178,    317,    270,    270,    95
24,    24,    512,    0.003,    333b/s,    35000,    20160000,    163,    159,    97%,    1641501289.2595332,    1641501589.893667,    300.6341359615326,    162,    304,    262,    262,    95
24,    24,    544,    0.003,    333b/s,    35000,    21280000,    162,    160,    98%,    1641501589.893947,    1641501890.810721,    300.916775226593,    161,    323,    280,    280,    95
24,    24,    576,    0.003,    333b/s,    35000,    22400000,    141,    137,    97%,    1641501890.8173141,    1641502192.215168,    301.3978548049927,    140,    290,    254,    254,    95
24,    24,    608,    0.003,    333b/s,    35000,    23520000,    141,    139,    98%,    1641502192.21535,    1641502492.554728,    300.33937907218933,    140,    311,    273,    273,    95
24,    24,    640,    0.003,    333b/s,    35000,    24640000,    141,    138,    97%,    1641502492.554952,    1641502794.528498,    301.9735481739044,    140,    321,    285,    285,    95
24,    24,    672,    0.003,    333b/s,    35000,    25760000,    125,    120,    96%,    1641502794.5287209,    1641503094.77387,    300.2451512813568,    124,    294,    262,    262,    95
24,    24,    704,    0.003,    333b/s,    35000,    26880000,    128,    125,    97%,    1641503094.774101,    1641503396.555081,    301.7809820175171,    127,    318,    284,    284,    95
24,    24,    736,    0.003,    333b/s,    35000,    28000000,    107,    101,    94%,    1641503396.5553238,    1641503698.913811,    302.35848903656006,    106,    267,    240,    240,    95
24,    24,    768,    0.003,    333b/s,    35000,    29120000,    107,    103,    96%,    1641503698.9140348,    1641504000.981795,    302.06776118278503,    106,    283,    256,    256,    95
24,    24,    832,    0.003,    333b/s,    35000,    31360000,    96,    92,    95%,    1641504000.982023,    1641504302.08729,    301.1052689552307,    95,    273,    249,    249,    95
24,    24,    896,    0.003,    333b/s,    35000,    33600000,    93,    89,    95%,    1641504302.0875149,    1641504604.53617,    302.44865703582764,    92,    282,    258,    258,    95
24,    24,    960,    0.003,    333b/s,    35000,    35840000,    97,    95,    97%,    1641504604.5438662,    1641504905.6376069,    301.0937418937683,    96,    323,    297,    297,    95
24,    24,    1024,    0.003,    333b/s,    35000,    38080000,    58,    48,    82%,    1641504905.637835,    1641505206.157351,    300.51951694488525,    57,    173,    161,    161,    95
24,    24,    1088,    0.003,    333b/s,    35000,    40320000,    68,    62,    91%,    1641505206.1575758,    1641505506.967934,    300.81035923957825,    67,    237,    220,    220,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    32,    31,    96%,    1641505506.9681668,    1641505537.694368,    30.726202249526978,    31,    322,    242,    242,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    63,    62,    98%,    1641505537.694576,    1641505598.189091,    60.494516134262085,    62,    327,    245,    245,    95
